code,candleDateTime,candleDateTimeKst,openingPrice,highPrice,lowPrice,tradePrice,candleAccTradeVolume,candleAccTradePrice,timestamp,unit
BTC-BAY,2018-01-03T15:19:00+00:00,2018-01-04T00:19:00+09:00,0.00001787,0.00001792,0.00001779,0.00001792,112080.7902,2.004213064,1.51499E+12,1
BTC-BAY,2018-01-03T15:18:00+00:00,2018-01-04T00:18:00+09:00,0.00001786,0.000018,0.00001779,0.00001792,183068.5008,3.27465907,1.51499E+12,1
BTC-BAY,2018-01-03T15:17:00+00:00,2018-01-04T00:17:00+09:00,0.00001792,0.000018,0.00001779,0.00001792,139062.5591,2.48809776,1.51499E+12,1
BTC-BAY,2018-01-03T15:16:00+00:00,2018-01-04T00:16:00+09:00,0.00001778,0.00001792,0.00001763,0.00001792,127402.9488,2.25392556,1.51499E+12,1
BTC-BAY,2018-01-03T15:15:00+00:00,2018-01-04T00:15:00+09:00,0.00001813,0.00001813,0.00001775,0.00001778,198910.252,3.578001594,1.51499E+12,1
BTC-BAY,2018-01-03T15:14:00+00:00,2018-01-04T00:14:00+09:00,0.00001819,0.0000182,0.00001805,0.00001807,126258.7295,2.29171422,1.51499E+12,1
BTC-BAY,2018-01-03T15:13:00+00:00,2018-01-04T00:13:00+09:00,0.00001805,0.0000182,0.00001801,0.00001818,258162.0278,4.673349977,1.51499E+12,1
BTC-BAY,2018-01-03T15:12:00+00:00,2018-01-04T00:12:00+09:00,0.00001802,0.0000182,0.00001802,0.00001805,289492.4197,5.237487799,1.51499E+12,1
BTC-BAY,2018-01-03T15:11:00+00:00,2018-01-04T00:11:00+09:00,0.00001785,0.00001805,0.00001785,0.00001802,177099.3491,3.183285454,1.51499E+12,1
BTC-BAY,2018-01-03T15:10:00+00:00,2018-01-04T00:10:00+09:00,0.00001766,0.00001787,0.00001766,0.0000178,132756.9476,2.351719868,1.51499E+12,1
BTC-BAY,2018-01-03T15:09:00+00:00,2018-01-04T00:09:00+09:00,0.0000176,0.00001766,0.0000176,0.00001766,89688.09645,1.580953783,1.51499E+12,1
BTC-BAY,2018-01-03T15:08:00+00:00,2018-01-04T00:08:00+09:00,0.00001759,0.00001763,0.00001759,0.0000176,39283.3669,0.691343578,1.51499E+12,1
BTC-BAY,2018-01-03T15:07:00+00:00,2018-01-04T00:07:00+09:00,0.00001758,0.0000176,0.00001758,0.00001759,85796.9993,1.508582485,1.51499E+12,1
BTC-BAY,2018-01-03T15:06:00+00:00,2018-01-04T00:06:00+09:00,0.00001756,0.0000176,0.00001756,0.00001758,83660.74069,1.471133105,1.51499E+12,1
BTC-BAY,2018-01-03T15:05:00+00:00,2018-01-04T00:05:00+09:00,0.00001759,0.00001759,0.00001756,0.00001756,67161.6168,1.180872591,1.51499E+12,1
BTC-BAY,2018-01-03T15:04:00+00:00,2018-01-04T00:04:00+09:00,0.00001759,0.0000176,0.00001757,0.00001759,133113.0894,2.341554388,1.51499E+12,1
BTC-BAY,2018-01-03T15:03:00+00:00,2018-01-04T00:03:00+09:00,0.00001743,0.00001759,0.00001743,0.00001759,122637.2584,2.146514631,1.51499E+12,1
